Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
glengarry glen ross,1992,"Crime, Drama, Mystery",7.7,an examination of the machinations behind the scenes at a real estate office,82.0,jamesfoley,alpacino,jacklemmon,alecbaldwin,glengarry glen ross crime drama mystery jamesfoley alpacino jacklemmon alecbaldwin an examination of the machinations behind the scenes at a real estate office
a few good men,1992,"Drama, Thriller",7.7,military lawyer lieutenant daniel kaffee defends marines accused of murder they contend they were acting under orders,62.0,robreiner,tomcruise,jacknicholson,demimoore,a few good men drama thriller robreiner tomcruise jacknicholson demimoore military lawyer lieutenant daniel kaffee defends marines accused of murder they contend they were acting under orders
fried green tomatoes,1991,Drama,7.7,a housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know,64.0,jonavnet,kathybates,jessicatandy,marystuartmasterson,fried green tomatoes drama jonavnet kathybates jessicatandy marystuartmasterson a housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know
barton fink,1991,"Comedy, Drama, Thriller",7.7,a renowned new york playwright is enticed to california to write for the movies and discovers the hellish truth of hollywood,69.0,joelcoen,ethancoen,johnturturro,johngoodman,barton fink comedy drama thriller joelcoen ethancoen johnturturro johngoodman a renowned new york playwright is enticed to california to write for the movies and discovers the hellish truth of hollywood
miller's crossing,1990,"Crime, Drama, Thriller",7.7,tom reagan an advisor to a prohibition-era crime boss tries to keep the peace between warring mobs but gets caught in divided loyalties,66.0,joelcoen,ethancoen,gabrielbyrne,albertfinney,miller's crossing crime drama thriller joelcoen ethancoen gabrielbyrne albertfinney tom reagan an advisor to a prohibition-era crime boss tries to keep the peace between warring mobs but gets caught in divided loyalties
who framed roger rabbit,1988,"Animation, Adventure, Comedy",7.7,a toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder,83.0,robertzemeckis,bobhoskins,christopherlloyd,joannacassidy,who framed roger rabbit animation adventure comedy robertzemeckis bobhoskins christopherlloyd joannacassidy a toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder
spoorloos,1988,"Mystery, Thriller",7.7,rex and saskia a young couple in love are on vacation they stop at a busy service station and saskia is abducted after three years and no sign of saskia rex begins receiving letters from the abductor,78.0,georgesluizer,bernard-pierredonnadieu,genebervoets,johannatersteege,spoorloos mystery thriller georgesluizer bernard-pierredonnadieu genebervoets johannatersteege rex and saskia a young couple in love are on vacation they stop at a busy service station and saskia is abducted after three years and no sign of saskia rex begins receiving letters from the abductor
withnail & i,1987,"Comedy, Drama",7.7,in 1969 two substance-abusing unemployed actors retreat to the countryside for a holiday that proves disastrous,84.0,brucerobinson,richardegrant,paulmcgann,richardgriffiths,withnail & i comedy drama brucerobinson richardegrant paulmcgann richardgriffiths in 1969 two substance-abusing unemployed actors retreat to the countryside for a holiday that proves disastrous
the last emperor,1987,"Biography, Drama, History",7.7,the story of the final emperor of china,76.0,bernardobertolucci,johnlone,joanchen,petero'toole,the last emperor biography drama history bernardobertolucci johnlone joanchen petero'toole the story of the final emperor of china
empire of the sun,1987,"Action, Drama, History",7.7,a young english boy struggles to survive under japanese occupation during world war ii,62.0,stevenspielberg,christianbale,johnmalkovich,mirandarichardson,empire of the sun action drama history stevenspielberg christianbale johnmalkovich mirandarichardson a young english boy struggles to survive under japanese occupation during world war ii
der name der rose,1986,"Crime, Drama, Mystery",7.7,an intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey,54.0,jean-jacquesannaud,seanconnery,christianslater,helmutqualtinger,der name der rose crime drama mystery jean-jacquesannaud seanconnery christianslater helmutqualtinger an intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey
blue velvet,1986,"Drama, Mystery, Thriller",7.7,the discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child,76.0,davidlynch,isabellarossellini,kylemaclachlan,dennishopper,blue velvet drama mystery thriller davidlynch isabellarossellini kylemaclachlan dennishopper the discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child
the purple rose of cairo,1985,"Comedy, Fantasy, Romance",7.7,in new jersey in 1935 a movie character walks off the screen and into the real world,75.0,woodyallen,miafarrow,jeffdaniels,dannyaiello,the purple rose of cairo comedy fantasy romance woodyallen miafarrow jeffdaniels dannyaiello in new jersey in 1935 a movie character walks off the screen and into the real world
after hours,1985,"Comedy, Crime, Drama",7.7,an ordinary word processor has the worst night of his life after he agrees to visit a girl in soho who he met that evening at a coffee shop,90.0,martinscorsese,griffindunne,rosannaarquette,vernabloom,after hours comedy crime drama martinscorsese griffindunne rosannaarquette vernabloom an ordinary word processor has the worst night of his life after he agrees to visit a girl in soho who he met that evening at a coffee shop
zelig,1983,Comedy,7.7,"""documentary"" about a man who can look and act like whoever he's around and meets various famous people",78.0,woodyallen,woodyallen,miafarrow,patrickhorgan,"zelig comedy woodyallen woodyallen miafarrow patrickhorgan ""documentary"" about a man who can look and act like whoever he's around and meets various famous people"
the verdict,1982,Drama,7.7,a lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling,77.0,sidneylumet,paulnewman,charlotterampling,jackwarden,the verdict drama sidneylumet paulnewman charlotterampling jackwarden a lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling
star trek ii: the wrath of khan,1982,"Action, Adventure, Sci-Fi",7.7,with the assistance of the enterprise crew admiral kirk must stop an old nemesis khan noonien singh from using the life-generating genesis device as the ultimate weapon,67.0,nicholasmeyer,williamshatner,leonardnimoy,deforestkelley,star trek ii: the wrath of khan action adventure sci-fi nicholasmeyer williamshatner leonardnimoy deforestkelley with the assistance of the enterprise crew admiral kirk must stop an old nemesis khan noonien singh from using the life-generating genesis device as the ultimate weapon
first blood,1982,"Action, Adventure",7.7,a veteran green beret is forced by a cruel sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers,61.0,tedkotcheff,sylvesterstallone,briandennehy,richardcrenna,first blood action adventure tedkotcheff sylvesterstallone briandennehy richardcrenna a veteran green beret is forced by a cruel sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers
ordinary people,1980,Drama,7.7,the accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the good-natured father and the guilt-ridden younger son,86.0,robertredford,donaldsutherland,marytylermoore,juddhirsch,ordinary people drama robertredford donaldsutherland marytylermoore juddhirsch the accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the good-natured father and the guilt-ridden younger son
airplane!,1980,Comedy,7.7,a man afraid to fly must ensure that a plane lands safely after the pilots become sick,78.0,jimabrahams,davidzucker,jerryzucker,roberthays,airplane! comedy jimabrahams davidzucker jerryzucker roberthays a man afraid to fly must ensure that a plane lands safely after the pilots become sick
rupan sansei: kariosutoro no shiro,1979,"Animation, Adventure, Family",7.7,a dashing thief his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches and learn the hidden secret to a fabulous treasure that she holds part of a key to,71.0,hayaomiyazaki,yasuoyamada,eikomasuyama,kiyoshikobayashi,rupan sansei: kariosutoro no shiro animation adventure family hayaomiyazaki yasuoyamada eikomasuyama kiyoshikobayashi a dashing thief his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches and learn the hidden secret to a fabulous treasure that she holds part of a key to
halloween,1978,"Horror, Thriller",7.7,fifteen years after murdering his sister on halloween night 1963 michael myers escapes from a mental hospital and returns to the small town of haddonfield illinois to kill again,87.0,johncarpenter,donaldpleasence,jamieleecurtis,tonymoran,halloween horror thriller johncarpenter donaldpleasence jamieleecurtis tonymoran fifteen years after murdering his sister on halloween night 1963 michael myers escapes from a mental hospital and returns to the small town of haddonfield illinois to kill again
le locataire,1976,"Drama, Thriller",7.7,a bureaucrat rents a paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia,71.0,romanpolanski,romanpolanski,isabelleadjani,melvyndouglas,le locataire drama thriller romanpolanski romanpolanski isabelleadjani melvyndouglas a bureaucrat rents a paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia
love and death,1975,"Comedy, War",7.7,in czarist russia a neurotic soldier and his distant cousin formulate a plot to assassinate napoleon,89.0,woodyallen,woodyallen,dianekeaton,georgesadet,love and death comedy war woodyallen woodyallen dianekeaton georgesadet in czarist russia a neurotic soldier and his distant cousin formulate a plot to assassinate napoleon
the taking of pelham one two three,1974,"Action, Crime, Thriller",7.7,in new york armed men hijack a subway car and demand a ransom for the passengers even if it's paid how could they get away?,68.0,josephsargent,waltermatthau,robertshaw,martinbalsam,the taking of pelham one two three action crime thriller josephsargent waltermatthau robertshaw martinbalsam in new york armed men hijack a subway car and demand a ransom for the passengers even if it's paid how could they get away?
blazing saddles,1974,"Comedy, Western",7.7,in order to ruin a western town a corrupt politician appoints a black sheriff who promptly becomes his most formidable adversary,73.0,melbrooks,cleavonlittle,genewilder,slimpickens,blazing saddles comedy western melbrooks cleavonlittle genewilder slimpickens in order to ruin a western town a corrupt politician appoints a black sheriff who promptly becomes his most formidable adversary
serpico,1973,"Biography, Crime, Drama",7.7,an honest new york cop named frank serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him,87.0,sidneylumet,alpacino,johnrandolph,jackkehoe,serpico biography crime drama sidneylumet alpacino johnrandolph jackkehoe an honest new york cop named frank serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him
